n beta gamma eps s sigma err
1 1.4 0.09633897 -1.070963 -1.45477512 0.7 0.7 1.948762673778042e13
2 1.4 -0.15040329 -2.19067886 -2.86589099 0.70477676 0.6978682 2.8835220312611912e22
3 1.4 -1.00478189 -1.38291508 -1.84631957 0.70477676 0.6978682 6.36602066262217e6
4 1.4 -0.42972814 -2.14509931 -2.45688439 0.69361218 0.6873773 2.4625620108160553e11
5 1.4 -1.5477359 -2.00575915 -2.39904144 0.69361218 0.6873773 4.598876769624706e12
6 1.4 -0.79226335 -0.51308439 -0.72769914 0.68379915 0.69103604 2094.3632512
7 1.4 -0.82448744 -0.71359926 -0.940939 0.67843063 0.68702046 8.946398026849894e17
8 1.4 -1.50620831 -0.75301146 -0.96192466 0.6802162 0.68436116 36610.87271624
9 1.4 -1.5609196 -0.40981483 -0.84790561 0.6802162 0.68436116 9327.8474298
10 1.4 -1.29703538 -0.72480177 -1.147649 0.67672426 0.67074102 1.4183737934582103e18
11 1.4 -1.0532642 -0.55751827 -0.80230694 0.66148427 0.67476829 10.82523806
12 1.4 -1.48700579 -0.76732765 -1.01435993 0.66148427 0.67476829 2.5263436287656494e18
13 1.4 -1.41041844 -0.55241304 -0.80323049 0.66773469 0.67821748 12197.52332765
14 1.4 -0.98911638 -0.9458821 -1.34579657 0.66773469 0.67821748 6.288746975167683e32
15 1.4 -0.96950609 -0.95376974 -1.31856211 0.66269666 0.67600102 5.040042144160521e48
16 1.4 -0.92498478 -1.0621318 -1.30060351 0.66255778 0.66751264 3.902102180765224e20
17 1.4 -0.68869611 -1.08495685 -1.21131204 0.6818885 0.66180082 3.6853935198171796e18
18 1.4 -0.94030603 -0.78889653 -1.028614 0.6895759 0.65351629 8.065351600320956e10
19 1.4 -0.89067776 -0.13790012 0.12016202 0.69815953 0.6399314 2.6851971966277168e17
20 1.4 -0.11899007 -1.11228867 -1.303518 0.69815953 0.6399314 2.3358307502344443e18
21 1.4 -0.26645473 -0.15198564 -0.40942418 0.6943194 0.64136925 5.531066048520746e19
22 1.4 -0.78416695 -0.7243308 -1.11839783 0.6866522 0.63404593 1.8043686473672451e34
23 1.4 -0.60049422 -0.08350277 0.0065419 0.68434812 0.63983856 3.1405295059751727e89
24 1.4 -0.35147746 -0.42491604 -0.45139203 0.68236918 0.63351335 1.091349888230071e31
25 1.4 -0.13439879 -0.56059881 -0.53591755 0.68443732 0.63140252 2.41760153
26 1.4 -0.02340372 -0.46788793 -0.47254882 0.67946838 0.62415132 7.822951155639989e11
